Language,Status,Duration,Lines of Code,Number of Critical Vulnerabilities,Number of Medium-level Vulnerabilities,Number of Low-level Vulnerabilities,Number of Information-level Vulnerabilities,Total Number of Vulnerabilities
Config files,completed,0:02:34,1 273 976,17,510,23,14,564
C#,completed,0:20:53,218 714,13,216,1 103,3,1 335
VBScript,completed,0:00:01,1 427,0,0,0,0,0
C/C++,completed,0:00:06,738,0,0,0,0,0
JavaScript,completed,0:00:06,526,0,6,0,0,6
VB.NET,completed,0:00:02,389,0,0,0,0,0
HTML5,completed,0:00:01,310,0,0,0,0,0
Visual Basic 6,completed,0:00:01,259,0,0,0,0,0
Python,completed,0:00:02,138,0,7,1,6,14
TypeScript,completed,0:00:00,7,0,0,0,0,0
LotusScript,completed,0:00:00,1,0,0,0,0,0
